"Notes"	"Cancer Sites"	"Cancer Sites Code"	"Race"	"Race Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	Count
	"Male Genital System"	"28010-28040"	"Asian or Pacific Islander"	"A-PI"	"80-84 years"	"80-84"	"Male"	"M"	6911
	"Male Genital System"	"28010-28040"	"Asian or Pacific Islander"	"A-PI"	"85+ years"	"85+"	"Male"	"M"	4382
	"Male Genital System"	"28010-28040"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"Male"	"M"	28
	"Male Genital System"	"28010-28040"	"Black or African American"	"2054-5"	"1-4 years"	"1-4"	"Male"	"M"	52
	"Male Genital System"	"28010-28040"	"Black or African American"	"2054-5"	"5-9 years"	"5-9"	"Male"	"M"	44
	"Male Genital System"	"28010-28040"	"Black or African American"	"2054-5"	"10-14 years"	"10-14"	"Male"	"M"	53
	"Male Genital System"	"28010-28040"	"Black or African American"	"2054-5"	"15-19 years"	"15-19"	"Male"	"M"	252
	"Male Genital System"	"28010-28040"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Male"	"M"	633
	"Male Genital System"	"28010-28040"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Male"	"M"	1009
	"Male Genital System"	"28010-28040"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Male"	"M"	1169
	"Male Genital System"	"28010-28040"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"Male"	"M"	1674
	"Male Genital System"	"28010-28040"	"Black or African American"	"2054-5"	"40-44 years"	"40-44"	"Male"	"M"	6884
	"Male Genital System"	"28010-28040"	"Black or African American"	"2054-5"	"45-49 years"	"45-49"	"Male"	"M"	24674
	"Male Genital System"	"28010-28040"	"Black or African American"	"2054-5"	"50-54 years"	"50-54"	"Male"	"M"	64830
	"Male Genital System"	"28010-28040"	"Black or African American"	"2054-5"	"55-59 years"	"55-59"	"Male"	"M"	111976
	"Male Genital System"	"28010-28040"	"Black or African American"	"2054-5"	"60-64 years "	"60-64"	"Male"	"M"	138494
	"Male Genital System"	"28010-28040"	"Black or African American"	"2054-5"	"65-69 years"	"65-69"	"Male"	"M"	141732
	"Male Genital System"	"28010-28040"	"Black or African American"	"2054-5"	"70-74 years"	"70-74"	"Male"	"M"	97211
	"Male Genital System"	"28010-28040"	"Black or African American"	"2054-5"	"75-79 years"	"75-79"	"Male"	"M"	58067
	"Male Genital System"	"28010-28040"	"Black or African American"	"2054-5"	"80-84 years"	"80-84"	"Male"	"M"	27833
	"Male Genital System"	"28010-28040"	"Black or African American"	"2054-5"	"85+ years"	"85+"	"Male"	"M"	19374
	"Male Genital System"	"28010-28040"	"White"	"2106-3"	"< 1 year"	"1"	"Male"	"M"	334
	"Male Genital System"	"28010-28040"	"White"	"2106-3"	"1-4 years"	"1-4"	"Male"	"M"	524
	"Male Genital System"	"28010-28040"	"White"	"2106-3"	"5-9 years"	"5-9"	"Male"	"M"	178
	"Male Genital System"	"28010-28040"	"White"	"2106-3"	"10-14 years"	"10-14"	"Male"	"M"	475
	"Male Genital System"	"28010-28040"	"White"	"2106-3"	"15-19 years"	"15-19"	"Male"	"M"	7773
	"Male Genital System"	"28010-28040"	"White"	"2106-3"	"20-24 years"	"20-24"	"Male"	"M"	21096
	"Male Genital System"	"28010-28040"	"White"	"2106-3"	"25-29 years"	"25-29"	"Male"	"M"	29430
	"Male Genital System"	"28010-28040"	"White"	"2106-3"	"30-34 years"	"30-34"	"Male"	"M"	29845
	"Male Genital System"	"28010-28040"	"White"	"2106-3"	"35-39 years"	"35-39"	"Male"	"M"	26589
	"Male Genital System"	"28010-28040"	"White"	"2106-3"	"40-44 years"	"40-44"	"Male"	"M"	33056
	"Male Genital System"	"28010-28040"	"White"	"2106-3"	"45-49 years"	"45-49"	"Male"	"M"	76644
	"Male Genital System"	"28010-28040"	"White"	"2106-3"	"50-54 years"	"50-54"	"Male"	"M"	231150
	"Male Genital System"	"28010-28040"	"White"	"2106-3"	"55-59 years"	"55-59"	"Male"	"M"	453033
	"Male Genital System"	"28010-28040"	"White"	"2106-3"	"60-64 years "	"60-64"	"Male"	"M"	655108
	"Male Genital System"	"28010-28040"	"White"	"2106-3"	"65-69 years"	"65-69"	"Male"	"M"	804795
	"Male Genital System"	"28010-28040"	"White"	"2106-3"	"70-74 years"	"70-74"	"Male"	"M"	685620
	"Male Genital System"	"28010-28040"	"White"	"2106-3"	"75-79 years"	"75-79"	"Male"	"M"	475448
	"Male Genital System"	"28010-28040"	"White"	"2106-3"	"80-84 years"	"80-84"	"Male"	"M"	253562
	"Male Genital System"	"28010-28040"	"White"	"2106-3"	"85+ years"	"85+"	"Male"	"M"	172399
	"Male Genital System"	"28010-28040"	"Other Races and Unknown combined"	"2131-1"	"< 1 year"	"1"	"Male"	"M"	21
	"Male Genital System"	"28010-28040"	"Other Races and Unknown combined"	"2131-1"	"1-4 years"	"1-4"	"Male"	"M"	22
	"Male Genital System"	"28010-28040"	"Other Races and Unknown combined"	"2131-1"	"15-19 years"	"15-19"	"Male"	"M"	173
	"Male Genital System"	"28010-28040"	"Other Races and Unknown combined"	"2131-1"	"20-24 years"	"20-24"	"Male"	"M"	591
	"Male Genital System"	"28010-28040"	"Other Races and Unknown combined"	"2131-1"	"25-29 years"	"25-29"	"Male"	"M"	841
	"Male Genital System"	"28010-28040"	"Other Races and Unknown combined"	"2131-1"	"30-34 years"	"30-34"	"Male"	"M"	803
	"Male Genital System"	"28010-28040"	"Other Races and Unknown combined"	"2131-1"	"35-39 years"	"35-39"	"Male"	"M"	648
	"Male Genital System"	"28010-28040"	"Other Races and Unknown combined"	"2131-1"	"40-44 years"	"40-44"	"Male"	"M"	896
	"Male Genital System"	"28010-28040"	"Other Races and Unknown combined"	"2131-1"	"45-49 years"	"45-49"	"Male"	"M"	2240
	"Male Genital System"	"28010-28040"	"Other Races and Unknown combined"	"2131-1"	"50-54 years"	"50-54"	"Male"	"M"	6868
	"Male Genital System"	"28010-28040"	"Other Races and Unknown combined"	"2131-1"	"55-59 years"	"55-59"	"Male"	"M"	13021
	"Male Genital System"	"28010-28040"	"Other Races and Unknown combined"	"2131-1"	"60-64 years "	"60-64"	"Male"	"M"	18293
	"Male Genital System"	"28010-28040"	"Other Races and Unknown combined"	"2131-1"	"65-69 years"	"65-69"	"Male"	"M"	20717
	"Male Genital System"	"28010-28040"	"Other Races and Unknown combined"	"2131-1"	"70-74 years"	"70-74"	"Male"	"M"	16473
	"Male Genital System"	"28010-28040"	"Other Races and Unknown combined"	"2131-1"	"75-79 years"	"75-79"	"Male"	"M"	10986
	"Male Genital System"	"28010-28040"	"Other Races and Unknown combined"	"2131-1"	"80-84 years"	"80-84"	"Male"	"M"	5203
	"Male Genital System"	"28010-28040"	"Other Races and Unknown combined"	"2131-1"	"85+ years"	"85+"	"Male"	"M"	2648
	"Prostate"	"28010"	"American Indian or Alaska Native"	"1002-5"	"40-44 years"	"40-44"	"Male"	"M"	85
	"Prostate"	"28010"	"American Indian or Alaska Native"	"1002-5"	"45-49 years"	"45-49"	"Male"	"M"	424
	"Prostate"	"28010"	"American Indian or Alaska Native"	"1002-5"	"50-54 years"	"50-54"	"Male"	"M"	1419
	"Prostate"	"28010"	"American Indian or Alaska Native"	"1002-5"	"55-59 years"	"55-59"	"Male"	"M"	2547
	"Prostate"	"28010"	"American Indian or Alaska Native"	"1002-5"	"60-64 years "	"60-64"	"Male"	"M"	3689
	"Prostate"	"28010"	"American Indian or Alaska Native"	"1002-5"	"65-69 years"	"65-69"	"Male"	"M"	4160
	"Prostate"	"28010"	"American Indian or Alaska Native"	"1002-5"	"70-74 years"	"70-74"	"Male"	"M"	3176
	"Prostate"	"28010"	"American Indian or Alaska Native"	"1002-5"	"75-79 years"	"75-79"	"Male"	"M"	2044
	"Prostate"	"28010"	"American Indian or Alaska Native"	"1002-5"	"80-84 years"	"80-84"	"Male"	"M"	1023
	"Prostate"	"28010"	"American Indian or Alaska Native"	"1002-5"	"85+ years"	"85+"	"Male"	"M"	680
	"Prostate"	"28010"	"Asian or Pacific Islander"	"A-PI"	"35-39 years"	"35-39"	"Male"	"M"	33
	"Prostate"	"28010"	"Asian or Pacific Islander"	"A-PI"	"40-44 years"	"40-44"	"Male"	"M"	273
	"Prostate"	"28010"	"Asian or Pacific Islander"	"A-PI"	"45-49 years"	"45-49"	"Male"	"M"	1178
	"Prostate"	"28010"	"Asian or Pacific Islander"	"A-PI"	"50-54 years"	"50-54"	"Male"	"M"	4399
	"Prostate"	"28010"	"Asian or Pacific Islander"	"A-PI"	"55-59 years"	"55-59"	"Male"	"M"	9779
	"Prostate"	"28010"	"Asian or Pacific Islander"	"A-PI"	"60-64 years "	"60-64"	"Male"	"M"	15421
	"Prostate"	"28010"	"Asian or Pacific Islander"	"A-PI"	"65-69 years"	"65-69"	"Male"	"M"	21266
	"Prostate"	"28010"	"Asian or Pacific Islander"	"A-PI"	"70-74 years"	"70-74"	"Male"	"M"	18409
	"Prostate"	"28010"	"Asian or Pacific Islander"	"A-PI"	"75-79 years"	"75-79"	"Male"	"M"	13060
	"Prostate"	"28010"	"Asian or Pacific Islander"	"A-PI"	"80-84 years"	"80-84"	"Male"	"M"	6807
	"Prostate"	"28010"	"Asian or Pacific Islander"	"A-PI"	"85+ years"	"85+"	"Male"	"M"	4285
	"Prostate"	"28010"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Male"	"M"	18
	"Prostate"	"28010"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Male"	"M"	61
	"Prostate"	"28010"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"Male"	"M"	564
	"Prostate"	"28010"	"Black or African American"	"2054-5"	"40-44 years"	"40-44"	"Male"	"M"	5963
	"Prostate"	"28010"	"Black or African American"	"2054-5"	"45-49 years"	"45-49"	"Male"	"M"	23874
	"Prostate"	"28010"	"Black or African American"	"2054-5"	"50-54 years"	"50-54"	"Male"	"M"	64102
	"Prostate"	"28010"	"Black or African American"	"2054-5"	"55-59 years"	"55-59"	"Male"	"M"	111346
	"Prostate"	"28010"	"Black or African American"	"2054-5"	"60-64 years "	"60-64"	"Male"	"M"	137905
	"Prostate"	"28010"	"Black or African American"	"2054-5"	"65-69 years"	"65-69"	"Male"	"M"	141240
	"Prostate"	"28010"	"Black or African American"	"2054-5"	"70-74 years"	"70-74"	"Male"	"M"	96779
	"Prostate"	"28010"	"Black or African American"	"2054-5"	"75-79 years"	"75-79"	"Male"	"M"	57704
	"Prostate"	"28010"	"Black or African American"	"2054-5"	"80-84 years"	"80-84"	"Male"	"M"	27584
	"Prostate"	"28010"	"Black or African American"	"2054-5"	"85+ years"	"85+"	"Male"	"M"	19116
	"Prostate"	"28010"	"White"	"2106-3"	"< 1 year"	"1"	"Male"	"M"	25
	"Prostate"	"28010"	"White"	"2106-3"	"1-4 years"	"1-4"	"Male"	"M"	64
	"Prostate"	"28010"	"White"	"2106-3"	"5-9 years"	"5-9"	"Male"	"M"	35
	"Prostate"	"28010"	"White"	"2106-3"	"10-14 years"	"10-14"	"Male"	"M"	19
	"Prostate"	"28010"	"White"	"2106-3"	"15-19 years"	"15-19"	"Male"	"M"	58
	"Prostate"	"28010"	"White"	"2106-3"	"20-24 years"	"20-24"	"Male"	"M"	30
	"Prostate"	"28010"	"White"	"2106-3"	"25-29 years"	"25-29"	"Male"	"M"	56
	"Prostate"	"28010"	"White"	"2106-3"	"30-34 years"	"30-34"	"Male"	"M"	169
	"Prostate"	"28010"	"White"	"2106-3"	"35-39 years"	"35-39"	"Male"	"M"	1288
	"Prostate"	"28010"	"White"	"2106-3"	"40-44 years"	"40-44"	"Male"	"M"	13247
	"Prostate"	"28010"	"White"	"2106-3"	"45-49 years"	"45-49"	"Male"	"M"	61704
	"Prostate"	"28010"	"White"	"2106-3"	"50-54 years"	"50-54"	"Male"	"M"	220356
	"Prostate"	"28010"	"White"	"2106-3"	"55-59 years"	"55-59"	"Male"	"M"	444983
	"Prostate"	"28010"	"White"	"2106-3"	"60-64 years "	"60-64"	"Male"	"M"	648681
	"Prostate"	"28010"	"White"	"2106-3"	"65-69 years"	"65-69"	"Male"	"M"	798947
	"Prostate"	"28010"	"White"	"2106-3"	"70-74 years"	"70-74"	"Male"	"M"	680398
	"Prostate"	"28010"	"White"	"2106-3"	"75-79 years"	"75-79"	"Male"	"M"	470683
	"Prostate"	"28010"	"White"	"2106-3"	"80-84 years"	"80-84"	"Male"	"M"	249795
	"Prostate"	"28010"	"White"	"2106-3"	"85+ years"	"85+"	"Male"	"M"	168885
	"Prostate"	"28010"	"Other Races and Unknown combined"	"2131-1"	"35-39 years"	"35-39"	"Male"	"M"	58
	"Prostate"	"28010"	"Other Races and Unknown combined"	"2131-1"	"40-44 years"	"40-44"	"Male"	"M"	498
	"Prostate"	"28010"	"Other Races and Unknown combined"	"2131-1"	"45-49 years"	"45-49"	"Male"	"M"	1991
	"Prostate"	"28010"	"Other Races and Unknown combined"	"2131-1"	"50-54 years"	"50-54"	"Male"	"M"	6685
	"Prostate"	"28010"	"Other Races and Unknown combined"	"2131-1"	"55-59 years"	"55-59"	"Male"	"M"	12884
	"Prostate"	"28010"	"Other Races and Unknown combined"	"2131-1"	"60-64 years "	"60-64"	"Male"	"M"	18194
	"Prostate"	"28010"	"Other Races and Unknown combined"	"2131-1"	"65-69 years"	"65-69"	"Male"	"M"	20621
	"Prostate"	"28010"	"Other Races and Unknown combined"	"2131-1"	"70-74 years"	"70-74"	"Male"	"M"	16416
	"Prostate"	"28010"	"Other Races and Unknown combined"	"2131-1"	"75-79 years"	"75-79"	"Male"	"M"	10944
	"Prostate"	"28010"	"Other Races and Unknown combined"	"2131-1"	"80-84 years"	"80-84"	"Male"	"M"	5177
	"Prostate"	"28010"	"Other Races and Unknown combined"	"2131-1"	"85+ years"	"85+"	"Male"	"M"	2614
	"Testis"	"28020"	"American Indian or Alaska Native"	"1002-5"	"15-19 years"	"15-19"	"Male"	"M"	100
	"Testis"	"28020"	"American Indian or Alaska Native"	"1002-5"	"20-24 years"	"20-24"	"Male"	"M"	262
	"Testis"	"28020"	"American Indian or Alaska Native"	"1002-5"	"25-29 years"	"25-29"	"Male"	"M"	357
	"Testis"	"28020"	"American Indian or Alaska Native"	"1002-5"	"30-34 years"	"30-34"	"Male"	"M"	289
	"Testis"	"28020"	"American Indian or Alaska Native"	"1002-5"	"35-39 years"	"35-39"	"Male"	"M"	241
	"Testis"	"28020"	"American Indian or Alaska Native"	"1002-5"	"40-44 years"	"40-44"	"Male"	"M"	143
	"Testis"	"28020"	"American Indian or Alaska Native"	"1002-5"	"45-49 years"	"45-49"	"Male"	"M"	110
	"Testis"	"28020"	"American Indian or Alaska Native"	"1002-5"	"50-54 years"	"50-54"	"Male"	"M"	47
	"Testis"	"28020"	"American Indian or Alaska Native"	"1002-5"	"55-59 years"	"55-59"	"Male"	"M"	23
	"Testis"	"28020"	"Asian or Pacific Islander"	"A-PI"	"< 1 year"	"1"	"Male"	"M"	29
	"Testis"	"28020"	"Asian or Pacific Islander"	"A-PI"	"1-4 years"	"1-4"	"Male"	"M"	57
	"Testis"	"28020"	"Asian or Pacific Islander"	"A-PI"	"15-19 years"	"15-19"	"Male"	"M"	208
	"Testis"	"28020"	"Asian or Pacific Islander"	"A-PI"	"20-24 years"	"20-24"	"Male"	"M"	553
	"Testis"	"28020"	"Asian or Pacific Islander"	"A-PI"	"25-29 years"	"25-29"	"Male"	"M"	719
	"Testis"	"28020"	"Asian or Pacific Islander"	"A-PI"	"30-34 years"	"30-34"	"Male"	"M"	722
	"Testis"	"28020"	"Asian or Pacific Islander"	"A-PI"	"35-39 years"	"35-39"	"Male"	"M"	484
	"Testis"	"28020"	"Asian or Pacific Islander"	"A-PI"	"40-44 years"	"40-44"	"Male"	"M"	372
	"Testis"	"28020"	"Asian or Pacific Islander"	"A-PI"	"45-49 years"	"45-49"	"Male"	"M"	228
	"Testis"	"28020"	"Asian or Pacific Islander"	"A-PI"	"50-54 years"	"50-54"	"Male"	"M"	137
	"Testis"	"28020"	"Asian or Pacific Islander"	"A-PI"	"55-59 years"	"55-59"	"Male"	"M"	83
	"Testis"	"28020"	"Asian or Pacific Islander"	"A-PI"	"60-64 years "	"60-64"	"Male"	"M"	38
	"Testis"	"28020"	"Asian or Pacific Islander"	"A-PI"	"65-69 years"	"65-69"	"Male"	"M"	24
	"Testis"	"28020"	"Asian or Pacific Islander"	"A-PI"	"75-79 years"	"75-79"	"Male"	"M"	17
	"Testis"	"28020"	"Black or African American"	"2054-5"	"< 1 year"	"1"	"Male"	"M"	21
	"Testis"	"28020"	"Black or African American"	"2054-5"	"1-4 years"	"1-4"	"Male"	"M"	38
	"Testis"	"28020"	"Black or African American"	"2054-5"	"5-9 years"	"5-9"	"Male"	"M"	36
	"Testis"	"28020"	"Black or African American"	"2054-5"	"10-14 years"	"10-14"	"Male"	"M"	41
	"Testis"	"28020"	"Black or African American"	"2054-5"	"15-19 years"	"15-19"	"Male"	"M"	220
	"Testis"	"28020"	"Black or African American"	"2054-5"	"20-24 years"	"20-24"	"Male"	"M"	604
	"Testis"	"28020"	"Black or African American"	"2054-5"	"25-29 years"	"25-29"	"Male"	"M"	976
	"Testis"	"28020"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Male"	"M"	1061
	"Testis"	"28020"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"Male"	"M"	1020
	"Testis"	"28020"	"Black or African American"	"2054-5"	"40-44 years"	"40-44"	"Male"	"M"	719
	"Testis"	"28020"	"Black or African American"	"2054-5"	"45-49 years"	"45-49"	"Male"	"M"	505
	"Testis"	"28020"	"Black or African American"	"2054-5"	"50-54 years"	"50-54"	"Male"	"M"	363
	"Testis"	"28020"	"Black or African American"	"2054-5"	"55-59 years"	"55-59"	"Male"	"M"	209
	"Testis"	"28020"	"Black or African American"	"2054-5"	"60-64 years "	"60-64"	"Male"	"M"	121
	"Testis"	"28020"	"Black or African American"	"2054-5"	"65-69 years"	"65-69"	"Male"	"M"	72
	"Testis"	"28020"	"Black or African American"	"2054-5"	"70-74 years"	"70-74"	"Male"	"M"	47
	"Testis"	"28020"	"Black or African American"	"2054-5"	"75-79 years"	"75-79"	"Male"	"M"	30
	"Testis"	"28020"	"Black or African American"	"2054-5"	"80-84 years"	"80-84"	"Male"	"M"	21
	"Testis"	"28020"	"Black or African American"	"2054-5"	"85+ years"	"85+"	"Male"	"M"	16
	"Testis"	"28020"	"White"	"2106-3"	"< 1 year"	"1"	"Male"	"M"	296
	"Testis"	"28020"	"White"	"2106-3"	"1-4 years"	"1-4"	"Male"	"M"	430
	"Testis"	"28020"	"White"	"2106-3"	"5-9 years"	"5-9"	"Male"	"M"	118
	"Testis"	"28020"	"White"	"2106-3"	"10-14 years"	"10-14"	"Male"	"M"	424
	"Testis"	"28020"	"White"	"2106-3"	"15-19 years"	"15-19"	"Male"	"M"	7643
	"Testis"	"28020"	"White"	"2106-3"	"20-24 years"	"20-24"	"Male"	"M"	20998
	"Testis"	"28020"	"White"	"2106-3"	"25-29 years"	"25-29"	"Male"	"M"	29255
	"Testis"	"28020"	"White"	"2106-3"	"30-34 years"	"30-34"	"Male"	"M"	29395
	"Testis"	"28020"	"White"	"2106-3"	"35-39 years"	"35-39"	"Male"	"M"	24828
	"Testis"	"28020"	"White"	"2106-3"	"40-44 years"	"40-44"	"Male"	"M"	18843
	"Testis"	"28020"	"White"	"2106-3"	"45-49 years"	"45-49"	"Male"	"M"	13501
	"Testis"	"28020"	"White"	"2106-3"	"50-54 years"	"50-54"	"Male"	"M"	8710
	"Testis"	"28020"	"White"	"2106-3"	"55-59 years"	"55-59"	"Male"	"M"	5277
	"Testis"	"28020"	"White"	"2106-3"	"60-64 years "	"60-64"	"Male"	"M"	2944
	"Testis"	"28020"	"White"	"2106-3"	"65-69 years"	"65-69"	"Male"	"M"	1781
	"Testis"	"28020"	"White"	"2106-3"	"70-74 years"	"70-74"	"Male"	"M"	1066
	"Testis"	"28020"	"White"	"2106-3"	"75-79 years"	"75-79"	"Male"	"M"	717
	"Testis"	"28020"	"White"	"2106-3"	"80-84 years"	"80-84"	"Male"	"M"	447
	"Testis"	"28020"	"White"	"2106-3"	"85+ years"	"85+"	"Male"	"M"	372
	"Testis"	"28020"	"Other Races and Unknown combined"	"2131-1"	"< 1 year"	"1"	"Male"	"M"	18
	"Testis"	"28020"	"Other Races and Unknown combined"	"2131-1"	"1-4 years"	"1-4"	"Male"	"M"	20
	"Testis"	"28020"	"Other Races and Unknown combined"	"2131-1"	"15-19 years"	"15-19"	"Male"	"M"	168
	"Testis"	"28020"	"Other Races and Unknown combined"	"2131-1"	"20-24 years"	"20-24"	"Male"	"M"	581
	"Testis"	"28020"	"Other Races and Unknown combined"	"2131-1"	"25-29 years"	"25-29"	"Male"	"M"	830
	"Testis"	"28020"	"Other Races and Unknown combined"	"2131-1"	"30-34 years"	"30-34"	"Male"	"M"	768
	"Testis"	"28020"	"Other Races and Unknown combined"	"2131-1"	"35-39 years"	"35-39"	"Male"	"M"	569
	"Testis"	"28020"	"Other Races and Unknown combined"	"2131-1"	"40-44 years"	"40-44"	"Male"	"M"	358
	"Testis"	"28020"	"Other Races and Unknown combined"	"2131-1"	"45-49 years"	"45-49"	"Male"	"M"	206
	"Testis"	"28020"	"Other Races and Unknown combined"	"2131-1"	"50-54 years"	"50-54"	"Male"	"M"	131
	"Testis"	"28020"	"Other Races and Unknown combined"	"2131-1"	"55-59 years"	"55-59"	"Male"	"M"	81
	"Testis"	"28020"	"Other Races and Unknown combined"	"2131-1"	"60-64 years "	"60-64"	"Male"	"M"	41
	"Testis"	"28020"	"Other Races and Unknown combined"	"2131-1"	"65-69 years"	"65-69"	"Male"	"M"	33
	"Penis"	"28030"	"American Indian or Alaska Native"	"1002-5"	"50-54 years"	"50-54"	"Male"	"M"	20
	"Penis"	"28030"	"American Indian or Alaska Native"	"1002-5"	"55-59 years"	"55-59"	"Male"	"M"	27
	"Penis"	"28030"	"American Indian or Alaska Native"	"1002-5"	"60-64 years "	"60-64"	"Male"	"M"	32
	"Penis"	"28030"	"American Indian or Alaska Native"	"1002-5"	"65-69 years"	"65-69"	"Male"	"M"	36
	"Penis"	"28030"	"American Indian or Alaska Native"	"1002-5"	"70-74 years"	"70-74"	"Male"	"M"	41
	"Penis"	"28030"	"American Indian or Alaska Native"	"1002-5"	"75-79 years"	"75-79"	"Male"	"M"	24
	"Penis"	"28030"	"American Indian or Alaska Native"	"1002-5"	"80-84 years"	"80-84"	"Male"	"M"	17
	"Penis"	"28030"	"Asian or Pacific Islander"	"A-PI"	"30-34 years"	"30-34"	"Male"	"M"	17
	"Penis"	"28030"	"Asian or Pacific Islander"	"A-PI"	"35-39 years"	"35-39"	"Male"	"M"	24
	"Penis"	"28030"	"Asian or Pacific Islander"	"A-PI"	"40-44 years"	"40-44"	"Male"	"M"	18
	"Penis"	"28030"	"Asian or Pacific Islander"	"A-PI"	"45-49 years"	"45-49"	"Male"	"M"	34
	"Penis"	"28030"	"Asian or Pacific Islander"	"A-PI"	"50-54 years"	"50-54"	"Male"	"M"	44
	"Penis"	"28030"	"Asian or Pacific Islander"	"A-PI"	"55-59 years"	"55-59"	"Male"	"M"	61
	"Penis"	"28030"	"Asian or Pacific Islander"	"A-PI"	"60-64 years "	"60-64"	"Male"	"M"	72
	"Penis"	"28030"	"Asian or Pacific Islander"	"A-PI"	"65-69 years"	"65-69"	"Male"	"M"	80
	"Penis"	"28030"	"Asian or Pacific Islander"	"A-PI"	"70-74 years"	"70-74"	"Male"	"M"	84
	"Penis"	"28030"	"Asian or Pacific Islander"	"A-PI"	"75-79 years"	"75-79"	"Male"	"M"	76
	"Penis"	"28030"	"Asian or Pacific Islander"	"A-PI"	"80-84 years"	"80-84"	"Male"	"M"	55
	"Penis"	"28030"	"Asian or Pacific Islander"	"A-PI"	"85+ years"	"85+"	"Male"	"M"	57
	"Penis"	"28030"	"Black or African American"	"2054-5"	"30-34 years"	"30-34"	"Male"	"M"	27
	"Penis"	"28030"	"Black or African American"	"2054-5"	"35-39 years"	"35-39"	"Male"	"M"	67
	"Penis"	"28030"	"Black or African American"	"2054-5"	"40-44 years"	"40-44"	"Male"	"M"	147
	"Penis"	"28030"	"Black or African American"	"2054-5"	"45-49 years"	"45-49"	"Male"	"M"	218
	"Penis"	"28030"	"Black or African American"	"2054-5"	"50-54 years"	"50-54"	"Male"	"M"	268
	"Penis"	"28030"	"Black or African American"	"2054-5"	"55-59 years"	"55-59"	"Male"	"M"	329
	"Penis"	"28030"	"Black or African American"	"2054-5"	"60-64 years "	"60-64"	"Male"	"M"	389
	"Penis"	"28030"	"Black or African American"	"2054-5"	"65-69 years"	"65-69"	"Male"	"M"	353
	"Penis"	"28030"	"Black or African American"	"2054-5"	"70-74 years"	"70-74"	"Male"	"M"	319
	"Penis"	"28030"	"Black or African American"	"2054-5"	"75-79 years"	"75-79"	"Male"	"M"	282
	"Penis"	"28030"	"Black or African American"	"2054-5"	"80-84 years"	"80-84"	"Male"	"M"	208
	"Penis"	"28030"	"Black or African American"	"2054-5"	"85+ years"	"85+"	"Male"	"M"	213
	"Penis"	"28030"	"White"	"2106-3"	"20-24 years"	"20-24"	"Male"	"M"	20
	"Penis"	"28030"	"White"	"2106-3"	"25-29 years"	"25-29"	"Male"	"M"	68
	"Penis"	"28030"	"White"	"2106-3"	"30-34 years"	"30-34"	"Male"	"M"	211
	"Penis"	"28030"	"White"	"2106-3"	"35-39 years"	"35-39"	"Male"	"M"	382
	"Penis"	"28030"	"White"	"2106-3"	"40-44 years"	"40-44"	"Male"	"M"	771
	"Penis"	"28030"	"White"	"2106-3"	"45-49 years"	"45-49"	"Male"	"M"	1140
	"Penis"	"28030"	"White"	"2106-3"	"50-54 years"	"50-54"	"Male"	"M"	1620
	"Penis"	"28030"	"White"	"2106-3"	"55-59 years"	"55-59"	"Male"	"M"	2158
	"Penis"	"28030"	"White"	"2106-3"	"60-64 years "	"60-64"	"Male"	"M"	2763
	"Penis"	"28030"	"White"	"2106-3"	"65-69 years"	"65-69"	"Male"	"M"	3254
	"Penis"	"28030"	"White"	"2106-3"	"70-74 years"	"70-74"	"Male"	"M"	3348
	"Penis"	"28030"	"White"	"2106-3"	"75-79 years"	"75-79"	"Male"	"M"	3239
	"Penis"	"28030"	"White"	"2106-3"	"80-84 years"	"80-84"	"Male"	"M"	2667
	"Penis"	"28030"	"White"	"2106-3"	"85+ years"	"85+"	"Male"	"M"	2620
	"Penis"	"28030"	"Other Races and Unknown combined"	"2131-1"	"35-39 years"	"35-39"	"Male"	"M"	18
	"Penis"	"28030"	"Other Races and Unknown combined"	"2131-1"	"40-44 years"	"40-44"	"Male"	"M"	30
	"Penis"	"28030"	"Other Races and Unknown combined"	"2131-1"	"45-49 years"	"45-49"	"Male"	"M"	31
	"Penis"	"28030"	"Other Races and Unknown combined"	"2131-1"	"50-54 years"	"50-54"	"Male"	"M"	34
	"Penis"	"28030"	"Other Races and Unknown combined"	"2131-1"	"55-59 years"	"55-59"	"Male"	"M"	34
	"Penis"	"28030"	"Other Races and Unknown combined"	"2131-1"	"60-64 years "	"60-64"	"Male"	"M"	39
	"Penis"	"28030"	"Other Races and Unknown combined"	"2131-1"	"65-69 years"	"65-69"	"Male"	"M"	46
	"Penis"	"28030"	"Other Races and Unknown combined"	"2131-1"	"70-74 years"	"70-74"	"Male"	"M"	31
	"Penis"	"28030"	"Other Races and Unknown combined"	"2131-1"	"75-79 years"	"75-79"	"Male"	"M"	21
	"Penis"	"28030"	"Other Races and Unknown combined"	"2131-1"	"80-84 years"	"80-84"	"Male"	"M"	17
