"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	"Race"	"Race Code"	Count
	"Melanoma of the Skin"	"25010"	"35-39 years"	"35-39"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	85
	"Melanoma of the Skin"	"25010"	"35-39 years"	"35-39"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	112
	"Melanoma of the Skin"	"25010"	"35-39 years"	"35-39"	"Male"	"M"	"Black or African American"	"2054-5"	114
	"Melanoma of the Skin"	"25010"	"35-39 years"	"35-39"	"Male"	"M"	"White"	"2106-3"	21890
	"Melanoma of the Skin"	"25010"	"35-39 years"	"35-39"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	1058
	"Melanoma of the Skin"	"25010"	"40-44 years"	"40-44"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	158
	"Melanoma of the Skin"	"25010"	"40-44 years"	"40-44"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	189
	"Melanoma of the Skin"	"25010"	"40-44 years"	"40-44"	"Female"	"F"	"Black or African American"	"2054-5"	196
	"Melanoma of the Skin"	"25010"	"40-44 years"	"40-44"	"Female"	"F"	"White"	"2106-3"	40706
	"Melanoma of the Skin"	"25010"	"40-44 years"	"40-44"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	2025
	"Melanoma of the Skin"	"25010"	"40-44 years"	"40-44"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	102
	"Melanoma of the Skin"	"25010"	"40-44 years"	"40-44"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	99
	"Melanoma of the Skin"	"25010"	"40-44 years"	"40-44"	"Male"	"M"	"Black or African American"	"2054-5"	148
	"Melanoma of the Skin"	"25010"	"40-44 years"	"40-44"	"Male"	"M"	"White"	"2106-3"	32098
	"Melanoma of the Skin"	"25010"	"40-44 years"	"40-44"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	1538
	"Melanoma of the Skin"	"25010"	"45-49 years"	"45-49"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	172
	"Melanoma of the Skin"	"25010"	"45-49 years"	"45-49"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	175
	"Melanoma of the Skin"	"25010"	"45-49 years"	"45-49"	"Female"	"F"	"Black or African American"	"2054-5"	255
	"Melanoma of the Skin"	"25010"	"45-49 years"	"45-49"	"Female"	"F"	"White"	"2106-3"	49758
	"Melanoma of the Skin"	"25010"	"45-49 years"	"45-49"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	2276
	"Melanoma of the Skin"	"25010"	"45-49 years"	"45-49"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	127
	"Melanoma of the Skin"	"25010"	"45-49 years"	"45-49"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	130
	"Melanoma of the Skin"	"25010"	"45-49 years"	"45-49"	"Male"	"M"	"Black or African American"	"2054-5"	205
	"Melanoma of the Skin"	"25010"	"45-49 years"	"45-49"	"Male"	"M"	"White"	"2106-3"	46505
	"Melanoma of the Skin"	"25010"	"45-49 years"	"45-49"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	1966
	"Melanoma of the Skin"	"25010"	"50-54 years"	"50-54"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	161
	"Melanoma of the Skin"	"25010"	"50-54 years"	"50-54"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	205
	"Melanoma of the Skin"	"25010"	"50-54 years"	"50-54"	"Female"	"F"	"Black or African American"	"2054-5"	340
	"Melanoma of the Skin"	"25010"	"50-54 years"	"50-54"	"Female"	"F"	"White"	"2106-3"	56012
	"Melanoma of the Skin"	"25010"	"50-54 years"	"50-54"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	2503
	"Melanoma of the Skin"	"25010"	"50-54 years"	"50-54"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	211
	"Melanoma of the Skin"	"25010"	"50-54 years"	"50-54"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	175
	"Melanoma of the Skin"	"25010"	"50-54 years"	"50-54"	"Male"	"M"	"Black or African American"	"2054-5"	299
	"Melanoma of the Skin"	"25010"	"50-54 years"	"50-54"	"Male"	"M"	"White"	"2106-3"	65084
	"Melanoma of the Skin"	"25010"	"50-54 years"	"50-54"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	2580
	"Melanoma of the Skin"	"25010"	"55-59 years"	"55-59"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	158
	"Melanoma of the Skin"	"25010"	"55-59 years"	"55-59"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	229
	"Melanoma of the Skin"	"25010"	"55-59 years"	"55-59"	"Female"	"F"	"Black or African American"	"2054-5"	373
	"Melanoma of the Skin"	"25010"	"55-59 years"	"55-59"	"Female"	"F"	"White"	"2106-3"	57677
	"Melanoma of the Skin"	"25010"	"55-59 years"	"55-59"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	2468
	"Melanoma of the Skin"	"25010"	"55-59 years"	"55-59"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	253
	"Melanoma of the Skin"	"25010"	"55-59 years"	"55-59"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	230
	"Melanoma of the Skin"	"25010"	"55-59 years"	"55-59"	"Male"	"M"	"Black or African American"	"2054-5"	369
	"Melanoma of the Skin"	"25010"	"55-59 years"	"55-59"	"Male"	"M"	"White"	"2106-3"	83727
	"Melanoma of the Skin"	"25010"	"55-59 years"	"55-59"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	2956
	"Melanoma of the Skin"	"25010"	"60-64 years "	"60-64"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	152
	"Melanoma of the Skin"	"25010"	"60-64 years "	"60-64"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	234
	"Melanoma of the Skin"	"25010"	"60-64 years "	"60-64"	"Female"	"F"	"Black or African American"	"2054-5"	396
	"Melanoma of the Skin"	"25010"	"60-64 years "	"60-64"	"Female"	"F"	"White"	"2106-3"	58016
	"Melanoma of the Skin"	"25010"	"60-64 years "	"60-64"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	2360
	"Melanoma of the Skin"	"25010"	"60-64 years "	"60-64"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	235
	"Melanoma of the Skin"	"25010"	"60-64 years "	"60-64"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	221
	"Melanoma of the Skin"	"25010"	"60-64 years "	"60-64"	"Male"	"M"	"Black or African American"	"2054-5"	408
	"Melanoma of the Skin"	"25010"	"60-64 years "	"60-64"	"Male"	"M"	"White"	"2106-3"	97695
	"Melanoma of the Skin"	"25010"	"60-64 years "	"60-64"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	3129
	"Melanoma of the Skin"	"25010"	"65-69 years"	"65-69"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	146
	"Melanoma of the Skin"	"25010"	"65-69 years"	"65-69"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	194
	"Melanoma of the Skin"	"25010"	"65-69 years"	"65-69"	"Female"	"F"	"Black or African American"	"2054-5"	430
	"Melanoma of the Skin"	"25010"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	56818
	"Melanoma of the Skin"	"25010"	"65-69 years"	"65-69"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	1974
	"Melanoma of the Skin"	"25010"	"65-69 years"	"65-69"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	236
	"Melanoma of the Skin"	"25010"	"65-69 years"	"65-69"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	267
	"Melanoma of the Skin"	"25010"	"65-69 years"	"65-69"	"Male"	"M"	"Black or African American"	"2054-5"	418
	"Melanoma of the Skin"	"25010"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	108683
	"Melanoma of the Skin"	"25010"	"65-69 years"	"65-69"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	3106
	"Melanoma of the Skin"	"25010"	"70-74 years"	"70-74"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	98
	"Melanoma of the Skin"	"25010"	"70-74 years"	"70-74"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	170
	"Melanoma of the Skin"	"25010"	"70-74 years"	"70-74"	"Female"	"F"	"Black or African American"	"2054-5"	416
	"Melanoma of the Skin"	"25010"	"70-74 years"	"70-74"	"Female"	"F"	"White"	"2106-3"	50873
	"Melanoma of the Skin"	"25010"	"70-74 years"	"70-74"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	1542
	"Melanoma of the Skin"	"25010"	"70-74 years"	"70-74"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	182
	"Melanoma of the Skin"	"25010"	"70-74 years"	"70-74"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	250
	"Melanoma of the Skin"	"25010"	"70-74 years"	"70-74"	"Male"	"M"	"Black or African American"	"2054-5"	377
	"Melanoma of the Skin"	"25010"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	106335
	"Melanoma of the Skin"	"25010"	"70-74 years"	"70-74"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	2528
	"Melanoma of the Skin"	"25010"	"75-79 years"	"75-79"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	87
	"Melanoma of the Skin"	"25010"	"75-79 years"	"75-79"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	175
	"Melanoma of the Skin"	"25010"	"75-79 years"	"75-79"	"Female"	"F"	"Black or African American"	"2054-5"	405
	"Melanoma of the Skin"	"25010"	"75-79 years"	"75-79"	"Female"	"F"	"White"	"2106-3"	44568
	"Melanoma of the Skin"	"25010"	"75-79 years"	"75-79"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	1096
	"Melanoma of the Skin"	"25010"	"75-79 years"	"75-79"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	164
	"Melanoma of the Skin"	"25010"	"75-79 years"	"75-79"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	217
	"Melanoma of the Skin"	"25010"	"75-79 years"	"75-79"	"Male"	"M"	"Black or African American"	"2054-5"	382
	"Melanoma of the Skin"	"25010"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	95705
	"Melanoma of the Skin"	"25010"	"75-79 years"	"75-79"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	1800
	"Melanoma of the Skin"	"25010"	"80-84 years"	"80-84"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	64
	"Melanoma of the Skin"	"25010"	"80-84 years"	"80-84"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	130
	"Melanoma of the Skin"	"25010"	"80-84 years"	"80-84"	"Female"	"F"	"Black or African American"	"2054-5"	381
	"Melanoma of the Skin"	"25010"	"80-84 years"	"80-84"	"Female"	"F"	"White"	"2106-3"	36592
	"Melanoma of the Skin"	"25010"	"80-84 years"	"80-84"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	808
	"Melanoma of the Skin"	"25010"	"80-84 years"	"80-84"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	116
	"Melanoma of the Skin"	"25010"	"80-84 years"	"80-84"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	132
	"Melanoma of the Skin"	"25010"	"80-84 years"	"80-84"	"Male"	"M"	"Black or African American"	"2054-5"	253
	"Melanoma of the Skin"	"25010"	"80-84 years"	"80-84"	"Male"	"M"	"White"	"2106-3"	73920
	"Melanoma of the Skin"	"25010"	"80-84 years"	"80-84"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	1097
	"Melanoma of the Skin"	"25010"	"85+ years"	"85+"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	64
	"Melanoma of the Skin"	"25010"	"85+ years"	"85+"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	120
	"Melanoma of the Skin"	"25010"	"85+ years"	"85+"	"Female"	"F"	"Black or African American"	"2054-5"	412
	"Melanoma of the Skin"	"25010"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	39364
	"Melanoma of the Skin"	"25010"	"85+ years"	"85+"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	724
	"Melanoma of the Skin"	"25010"	"85+ years"	"85+"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	80
	"Melanoma of the Skin"	"25010"	"85+ years"	"85+"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	167
	"Melanoma of the Skin"	"25010"	"85+ years"	"85+"	"Male"	"M"	"Black or African American"	"2054-5"	218
	"Melanoma of the Skin"	"25010"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	63027
	"Melanoma of the Skin"	"25010"	"85+ years"	"85+"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	874
	"Myeloma"	"34000"	"15-19 years"	"15-19"	"Female"	"F"	"White"	"2106-3"	17
	"Myeloma"	"34000"	"15-19 years"	"15-19"	"Male"	"M"	"White"	"2106-3"	21
	"Myeloma"	"34000"	"20-24 years"	"20-24"	"Female"	"F"	"Black or African American"	"2054-5"	17
	"Myeloma"	"34000"	"20-24 years"	"20-24"	"Female"	"F"	"White"	"2106-3"	39
	"Myeloma"	"34000"	"20-24 years"	"20-24"	"Male"	"M"	"Black or African American"	"2054-5"	20
	"Myeloma"	"34000"	"20-24 years"	"20-24"	"Male"	"M"	"White"	"2106-3"	74
	"Myeloma"	"34000"	"25-29 years"	"25-29"	"Female"	"F"	"Black or African American"	"2054-5"	62
	"Myeloma"	"34000"	"25-29 years"	"25-29"	"Female"	"F"	"White"	"2106-3"	117
	"Myeloma"	"34000"	"25-29 years"	"25-29"	"Male"	"M"	"Black or African American"	"2054-5"	65
	"Myeloma"	"34000"	"25-29 years"	"25-29"	"Male"	"M"	"White"	"2106-3"	201
	"Myeloma"	"34000"	"30-34 years"	"30-34"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	23
	"Myeloma"	"34000"	"30-34 years"	"30-34"	"Female"	"F"	"Black or African American"	"2054-5"	217
	"Myeloma"	"34000"	"30-34 years"	"30-34"	"Female"	"F"	"White"	"2106-3"	350
	"Myeloma"	"34000"	"30-34 years"	"30-34"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	37
	"Myeloma"	"34000"	"30-34 years"	"30-34"	"Male"	"M"	"Black or African American"	"2054-5"	256
	"Myeloma"	"34000"	"30-34 years"	"30-34"	"Male"	"M"	"White"	"2106-3"	639
	"Myeloma"	"34000"	"30-34 years"	"30-34"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	21
	"Myeloma"	"34000"	"35-39 years"	"35-39"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	19
	"Myeloma"	"34000"	"35-39 years"	"35-39"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	62
	"Myeloma"	"34000"	"35-39 years"	"35-39"	"Female"	"F"	"Black or African American"	"2054-5"	583
	"Myeloma"	"34000"	"35-39 years"	"35-39"	"Female"	"F"	"White"	"2106-3"	1025
	"Myeloma"	"34000"	"35-39 years"	"35-39"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	30
	"Myeloma"	"34000"	"35-39 years"	"35-39"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	35
	"Myeloma"	"34000"	"35-39 years"	"35-39"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	80
	"Myeloma"	"34000"	"35-39 years"	"35-39"	"Male"	"M"	"Black or African American"	"2054-5"	602
	"Myeloma"	"34000"	"35-39 years"	"35-39"	"Male"	"M"	"White"	"2106-3"	1572
	"Myeloma"	"34000"	"35-39 years"	"35-39"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	39
	"Myeloma"	"34000"	"40-44 years"	"40-44"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	39
	"Myeloma"	"34000"	"40-44 years"	"40-44"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	143
	"Myeloma"	"34000"	"40-44 years"	"40-44"	"Female"	"F"	"Black or African American"	"2054-5"	1443
	"Myeloma"	"34000"	"40-44 years"	"40-44"	"Female"	"F"	"White"	"2106-3"	2448
	"Myeloma"	"34000"	"40-44 years"	"40-44"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	62
	"Myeloma"	"34000"	"40-44 years"	"40-44"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	50
	"Myeloma"	"34000"	"40-44 years"	"40-44"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	155
	"Myeloma"	"34000"	"40-44 years"	"40-44"	"Male"	"M"	"Black or African American"	"2054-5"	1433
	"Myeloma"	"34000"	"40-44 years"	"40-44"	"Male"	"M"	"White"	"2106-3"	3744
	"Myeloma"	"34000"	"40-44 years"	"40-44"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	83
	"Myeloma"	"34000"	"45-49 years"	"45-49"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	70
	"Myeloma"	"34000"	"45-49 years"	"45-49"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	264
	"Myeloma"	"34000"	"45-49 years"	"45-49"	"Female"	"F"	"Black or African American"	"2054-5"	2622
	"Myeloma"	"34000"	"45-49 years"	"45-49"	"Female"	"F"	"White"	"2106-3"	5109
	"Myeloma"	"34000"	"45-49 years"	"45-49"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	95
	"Myeloma"	"34000"	"45-49 years"	"45-49"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	87
	"Myeloma"	"34000"	"45-49 years"	"45-49"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	302
	"Myeloma"	"34000"	"45-49 years"	"45-49"	"Male"	"M"	"Black or African American"	"2054-5"	2630
	"Myeloma"	"34000"	"45-49 years"	"45-49"	"Male"	"M"	"White"	"2106-3"	7306
	"Myeloma"	"34000"	"45-49 years"	"45-49"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	125
	"Myeloma"	"34000"	"50-54 years"	"50-54"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	109
	"Myeloma"	"34000"	"50-54 years"	"50-54"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	408
	"Myeloma"	"34000"	"50-54 years"	"50-54"	"Female"	"F"	"Black or African American"	"2054-5"	4069
	"Myeloma"	"34000"	"50-54 years"	"50-54"	"Female"	"F"	"White"	"2106-3"	8996
	"Myeloma"	"34000"	"50-54 years"	"50-54"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	143
	"Myeloma"	"34000"	"50-54 years"	"50-54"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	140
	"Myeloma"	"34000"	"50-54 years"	"50-54"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	476
	"Myeloma"	"34000"	"50-54 years"	"50-54"	"Male"	"M"	"Black or African American"	"2054-5"	4329
	"Myeloma"	"34000"	"50-54 years"	"50-54"	"Male"	"M"	"White"	"2106-3"	12789
	"Myeloma"	"34000"	"50-54 years"	"50-54"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	192
	"Myeloma"	"34000"	"55-59 years"	"55-59"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	170
	"Myeloma"	"34000"	"55-59 years"	"55-59"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	583
	"Myeloma"	"34000"	"55-59 years"	"55-59"	"Female"	"F"	"Black or African American"	"2054-5"	5385
	"Myeloma"	"34000"	"55-59 years"	"55-59"	"Female"	"F"	"White"	"2106-3"	13583
	"Myeloma"	"34000"	"55-59 years"	"55-59"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	191
	"Myeloma"	"34000"	"55-59 years"	"55-59"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	188
	"Myeloma"	"34000"	"55-59 years"	"55-59"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	683
	"Myeloma"	"34000"	"55-59 years"	"55-59"	"Male"	"M"	"Black or African American"	"2054-5"	5935
	"Myeloma"	"34000"	"55-59 years"	"55-59"	"Male"	"M"	"White"	"2106-3"	19696
	"Myeloma"	"34000"	"55-59 years"	"55-59"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	248
	"Myeloma"	"34000"	"60-64 years "	"60-64"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	191
	"Myeloma"	"34000"	"60-64 years "	"60-64"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	648
	"Myeloma"	"34000"	"60-64 years "	"60-64"	"Female"	"F"	"Black or African American"	"2054-5"	6614
	"Myeloma"	"34000"	"60-64 years "	"60-64"	"Female"	"F"	"White"	"2106-3"	17934
	"Myeloma"	"34000"	"60-64 years "	"60-64"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	245
	"Myeloma"	"34000"	"60-64 years "	"60-64"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	217
	"Myeloma"	"34000"	"60-64 years "	"60-64"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	927
	"Myeloma"	"34000"	"60-64 years "	"60-64"	"Male"	"M"	"Black or African American"	"2054-5"	7056
	"Myeloma"	"34000"	"60-64 years "	"60-64"	"Male"	"M"	"White"	"2106-3"	25740
	"Myeloma"	"34000"	"60-64 years "	"60-64"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	290
	"Myeloma"	"34000"	"65-69 years"	"65-69"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	214
	"Myeloma"	"34000"	"65-69 years"	"65-69"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	776
	"Myeloma"	"34000"	"65-69 years"	"65-69"	"Female"	"F"	"Black or African American"	"2054-5"	7078
	"Myeloma"	"34000"	"65-69 years"	"65-69"	"Female"	"F"	"White"	"2106-3"	22615
	"Myeloma"	"34000"	"65-69 years"	"65-69"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	258
	"Myeloma"	"34000"	"65-69 years"	"65-69"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	236
	"Myeloma"	"34000"	"65-69 years"	"65-69"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	986
	"Myeloma"	"34000"	"65-69 years"	"65-69"	"Male"	"M"	"Black or African American"	"2054-5"	7495
	"Myeloma"	"34000"	"65-69 years"	"65-69"	"Male"	"M"	"White"	"2106-3"	31528
	"Myeloma"	"34000"	"65-69 years"	"65-69"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	349
	"Myeloma"	"34000"	"70-74 years"	"70-74"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	202
	"Myeloma"	"34000"	"70-74 years"	"70-74"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	861
	"Myeloma"	"34000"	"70-74 years"	"70-74"	"Female"	"F"	"Black or African American"	"2054-5"	6792
	"Myeloma"	"34000"	"70-74 years"	"70-74"	"Female"	"F"	"White"	"2106-3"	24347
	"Myeloma"	"34000"	"70-74 years"	"70-74"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	283
	"Myeloma"	"34000"	"70-74 years"	"70-74"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	201
	"Myeloma"	"34000"	"70-74 years"	"70-74"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	946
	"Myeloma"	"34000"	"70-74 years"	"70-74"	"Male"	"M"	"Black or African American"	"2054-5"	6494
	"Myeloma"	"34000"	"70-74 years"	"70-74"	"Male"	"M"	"White"	"2106-3"	33086
	"Myeloma"	"34000"	"70-74 years"	"70-74"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	306
	"Myeloma"	"34000"	"75-79 years"	"75-79"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	151
	"Myeloma"	"34000"	"75-79 years"	"75-79"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	690
	"Myeloma"	"34000"	"75-79 years"	"75-79"	"Female"	"F"	"Black or African American"	"2054-5"	5991
	"Myeloma"	"34000"	"75-79 years"	"75-79"	"Female"	"F"	"White"	"2106-3"	24449
	"Myeloma"	"34000"	"75-79 years"	"75-79"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	223
	"Myeloma"	"34000"	"75-79 years"	"75-79"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	147
	"Myeloma"	"34000"	"75-79 years"	"75-79"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	809
	"Myeloma"	"34000"	"75-79 years"	"75-79"	"Male"	"M"	"Black or African American"	"2054-5"	5209
	"Myeloma"	"34000"	"75-79 years"	"75-79"	"Male"	"M"	"White"	"2106-3"	30883
	"Myeloma"	"34000"	"75-79 years"	"75-79"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	252
	"Myeloma"	"34000"	"80-84 years"	"80-84"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	110
	"Myeloma"	"34000"	"80-84 years"	"80-84"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	558
	"Myeloma"	"34000"	"80-84 years"	"80-84"	"Female"	"F"	"Black or African American"	"2054-5"	4383
	"Myeloma"	"34000"	"80-84 years"	"80-84"	"Female"	"F"	"White"	"2106-3"	21013
	"Myeloma"	"34000"	"80-84 years"	"80-84"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	167
	"Myeloma"	"34000"	"80-84 years"	"80-84"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	108
	"Myeloma"	"34000"	"80-84 years"	"80-84"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	583
	"Myeloma"	"34000"	"80-84 years"	"80-84"	"Male"	"M"	"Black or African American"	"2054-5"	3492
	"Myeloma"	"34000"	"80-84 years"	"80-84"	"Male"	"M"	"White"	"2106-3"	23931
	"Myeloma"	"34000"	"80-84 years"	"80-84"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	169
	"Myeloma"	"34000"	"85+ years"	"85+"	"Female"	"F"	"American Indian or Alaska Native"	"1002-5"	76
	"Myeloma"	"34000"	"85+ years"	"85+"	"Female"	"F"	"Asian or Pacific Islander"	"A-PI"	365
	"Myeloma"	"34000"	"85+ years"	"85+"	"Female"	"F"	"Black or African American"	"2054-5"	3613
	"Myeloma"	"34000"	"85+ years"	"85+"	"Female"	"F"	"White"	"2106-3"	19016
	"Myeloma"	"34000"	"85+ years"	"85+"	"Female"	"F"	"Other Races and Unknown combined"	"2131-1"	124
	"Myeloma"	"34000"	"85+ years"	"85+"	"Male"	"M"	"American Indian or Alaska Native"	"1002-5"	49
	"Myeloma"	"34000"	"85+ years"	"85+"	"Male"	"M"	"Asian or Pacific Islander"	"A-PI"	418
	"Myeloma"	"34000"	"85+ years"	"85+"	"Male"	"M"	"Black or African American"	"2054-5"	2236
	"Myeloma"	"34000"	"85+ years"	"85+"	"Male"	"M"	"White"	"2106-3"	17836
	"Myeloma"	"34000"	"85+ years"	"85+"	"Male"	"M"	"Other Races and Unknown combined"	"2131-1"	99
	"Non-Hodgkin Lymphoma"	"33041-33042"	"< 1 year"	"1"	"Female"	"F"	"White"	"2106-3"	83
	"Non-Hodgkin Lymphoma"	"33041-33042"	"< 1 year"	"1"	"Male"	"M"	"Black or African American"	"2054-5"	19
	"Non-Hodgkin Lymphoma"	"33041-33042"	"< 1 year"	"1"	"Male"	"M"	"White"	"2106-3"	93
